datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
12/31/2017 9:00:00 PM,12/31/2017 4:00:00 PM,Other Renewables,722,0.000,True
12/31/2017 9:00:00 PM,12/31/2017 4:00:00 PM,Solar,4,0.000,True
12/31/2017 9:00:00 PM,12/31/2017 4:00:00 PM,Storage,0,0.000,False
12/31/2017 9:00:00 PM,12/31/2017 4:00:00 PM,Wind,2003,0.020,True
12/31/2017 8:00:00 PM,12/31/2017 3:00:00 PM,Coal,48331,0.430,False
12/31/2017 8:00:00 PM,12/31/2017 3:00:00 PM,Gas,23238,0.200,False
12/31/2017 8:00:00 PM,12/31/2017 3:00:00 PM,Hydro,534,0.000,True
12/31/2017 8:00:00 PM,12/31/2017 3:00:00 PM,Multiple Fuels,284,0.000,False
12/31/2017 8:00:00 PM,12/31/2017 3:00:00 PM,Nuclear,35526,0.310,False
12/31/2017 8:00:00 PM,12/31/2017 3:00:00 PM,Oil,2822,0.020,False
12/31/2017 8:00:00 PM,12/31/2017 3:00:00 PM,Other,48,0.000,False
12/31/2017 8:00:00 PM,12/31/2017 3:00:00 PM,Other Renewables,714,0.000,True
12/31/2017 8:00:00 PM,12/31/2017 3:00:00 PM,Solar,34,0.000,True
12/31/2017 8:00:00 PM,12/31/2017 3:00:00 PM,Storage,0,0.000,False
12/31/2017 8:00:00 PM,12/31/2017 3:00:00 PM,Wind,1739,0.020,True
12/31/2017 7:00:00 PM,12/31/2017 2:00:00 PM,Coal,48233,0.430,False
12/31/2017 7:00:00 PM,12/31/2017 2:00:00 PM,Gas,23761,0.210,False
12/31/2017 7:00:00 PM,12/31/2017 2:00:00 PM,Hydro,367,0.000,True
12/31/2017 7:00:00 PM,12/31/2017 2:00:00 PM,Multiple Fuels,328,0.000,False
12/31/2017 7:00:00 PM,12/31/2017 2:00:00 PM,Nuclear,35496,0.310,False
12/31/2017 7:00:00 PM,12/31/2017 2:00:00 PM,Oil,2495,0.020,False
12/31/2017 7:00:00 PM,12/31/2017 2:00:00 PM,Other,50,0.000,False
12/31/2017 7:00:00 PM,12/31/2017 2:00:00 PM,Other Renewables,711,0.000,True
12/31/2017 7:00:00 PM,12/31/2017 2:00:00 PM,Solar,67,0.000,True
12/31/2017 7:00:00 PM,12/31/2017 2:00:00 PM,Storage,0,0.000,False
12/31/2017 7:00:00 PM,12/31/2017 2:00:00 PM,Wind,1544,0.010,True
12/31/2017 6:00:00 PM,12/31/2017 1:00:00 PM,Coal,48544,0.430,False
12/31/2017 6:00:00 PM,12/31/2017 1:00:00 PM,Gas,22878,0.200,False
12/31/2017 6:00:00 PM,12/31/2017 1:00:00 PM,Hydro,358,0.000,True
12/31/2017 6:00:00 PM,12/31/2017 1:00:00 PM,Multiple Fuels,282,0.000,False
12/31/2017 6:00:00 PM,12/31/2017 1:00:00 PM,Nuclear,35530,0.320,False
12/31/2017 6:00:00 PM,12/31/2017 1:00:00 PM,Oil,2001,0.020,False
12/31/2017 6:00:00 PM,12/31/2017 1:00:00 PM,Other,72,0.000,False
12/31/2017 6:00:00 PM,12/31/2017 1:00:00 PM,Other Renewables,711,0.000,True
12/31/2017 6:00:00 PM,12/31/2017 1:00:00 PM,Solar,166,0.000,True
12/31/2017 6:00:00 PM,12/31/2017 1:00:00 PM,Storage,0,0.000,False
12/31/2017 6:00:00 PM,12/31/2017 1:00:00 PM,Wind,1482,0.010,True
12/31/2017 5:00:00 PM,12/31/2017 12:00:00 PM,Coal,48361,0.430,False
12/31/2017 5:00:00 PM,12/31/2017 12:00:00 PM,Gas,22404,0.200,False
12/31/2017 5:00:00 PM,12/31/2017 12:00:00 PM,Hydro,595,0.010,True
12/31/2017 5:00:00 PM,12/31/2017 12:00:00 PM,Multiple Fuels,296,0.000,False
12/31/2017 5:00:00 PM,12/31/2017 12:00:00 PM,Nuclear,35517,0.320,False
12/31/2017 5:00:00 PM,12/31/2017 12:00:00 PM,Oil,1816,0.020,False
12/31/2017 5:00:00 PM,12/31/2017 12:00:00 PM,Other,72,0.000,False
12/31/2017 5:00:00 PM,12/31/2017 12:00:00 PM,Other Renewables,719,0.000,True
12/31/2017 5:00:00 PM,12/31/2017 12:00:00 PM,Solar,195,0.000,True
12/31/2017 5:00:00 PM,12/31/2017 12:00:00 PM,Storage,0,0.000,False
12/31/2017 5:00:00 PM,12/31/2017 12:00:00 PM,Wind,1561,0.010,True
12/31/2017 4:00:00 PM,12/31/2017 11:00:00 AM,Coal,48850,0.430,False
12/31/2017 4:00:00 PM,12/31/2017 11:00:00 AM,Gas,23859,0.210,False
12/31/2017 4:00:00 PM,12/31/2017 11:00:00 AM,Hydro,610,0.010,True
12/31/2017 4:00:00 PM,12/31/2017 11:00:00 AM,Multiple Fuels,213,0.000,False
12/31/2017 4:00:00 PM,12/31/2017 11:00:00 AM,Nuclear,35516,0.310,False
12/31/2017 4:00:00 PM,12/31/2017 11:00:00 AM,Oil,1505,0.010,False
12/31/2017 4:00:00 PM,12/31/2017 11:00:00 AM,Other,102,0.000,False
12/31/2017 4:00:00 PM,12/31/2017 11:00:00 AM,Other Renewables,695,0.000,True
12/31/2017 4:00:00 PM,12/31/2017 11:00:00 AM,Solar,268,0.000,True
